altitude,xaccel,yaccel,zaccel,elevator,aileron,rudder
1005.2813,332.0829,357.2374,161.0492,0.0076,-0.1524,0.0
1005.3101,333.1296,354.4069,156.6027,0.0078,-0.1538,0.0
1005.3387,334.0077,351.4972,152.1808,0.008,-0.1551,0.0
1005.3673,334.721,348.51,147.7838,0.0083,-0.1564,0.0
1005.3958,335.2731,345.4469,143.4119,0.0085,-0.1577,0.0
1005.4242,335.6677,342.3095,139.0653,0.0088,-0.1589,0.0
1005.4525,335.9084,339.0996,134.7442,0.0091,-0.16,0.0
1005.4807,335.9986,335.8188,130.4487,0.0093,-0.1611,0.0
1005.5089,335.9419,332.4689,126.1789,0.0096,-0.1622,0.0
1005.5369,335.7416,329.0513,121.935,0.0099,-0.1633,0.0
1005.5649,335.4013,325.5679,117.717,0.0103,-0.1643,0.0
1005.5928,334.9243,322.0203,113.525,0.0106,-0.1652,0.0
1005.6205,334.3138,318.4102,109.359,0.0109,-0.1661,0.0
1005.6482,333.5731,314.7392,105.2191,0.0113,-0.167,0.0
1005.6758,332.7054,311.0091,101.1053,0.0117,-0.1678,0.0
1005.7033,331.7139,307.2216,97.0176,0.012,-0.1686,0.0
1005.7308,330.6016,303.3782,92.956,0.0124,-0.1694,0.0
1005.7581,329.3716,299.4808,88.9205,0.0128,-0.1701,0.0
1005.7854,328.027,295.5311,84.911,0.0132,-0.1708,0.0
1005.8125,326.5707,291.5307,80.9276,0.0136,-0.1714,0.0
1005.8396,325.0055,287.4814,76.9702,0.014,-0.172,0.0
1005.8666,323.3344,283.3849,73.0388,0.0145,-0.1726,0.0
1005.8935,321.5601,279.2429,69.1333,0.0149,-0.1731,0.0
1005.9203,319.6854,275.0571,65.2538,0.0153,-0.1736,0.0
1005.947,317.7131,270.8293,61.4001,0.0158,-0.1741,0.0
1005.9737,315.6456,266.5611,57.5723,0.0162,-0.1745,0.0
1006.0002,313.4858,262.2545,53.7703,0.0167,-0.1748,0.0
1006.0267,311.2361,257.9109,49.9941,0.0171,-0.1752,0.0
1006.0531,308.899,253.5324,46.2437,0.0176,-0.1755,0.0
1006.0794,306.477,249.1204,42.519,0.0181,-0.1757,0.0
1006.1056,303.9726,244.6769,38.8201,0.0185,-0.176,0.0
1006.1318,301.3881,240.2036,35.147,0.019,-0.1761,0.0
1006.1578,298.7259,235.7021,31.4995,0.0195,-0.1763,0.0
1006.1838,295.9881,231.1743,27.8779,0.02,-0.1764,0.0
1006.2097,293.1772,226.622,24.282,0.0205,-0.1765,0.0
1006.2355,290.2953,222.0467,20.7119,0.021,-0.1766,0.0
1006.2613,287.3444,217.4504,17.1677,0.0215,-0.1766,0.0
1006.2869,284.3269,212.8347,13.6493,0.022,-0.1766,0.0
1006.3125,281.2447,208.2015,10.1569,0.0225,-0.1765,0.0
1006.338,278.0999,203.5523,6.6906,0.023,-0.1764,0.0
1006.3635,274.8945,198.889,3.2504,0.0235,-0.1763,0.0
1006.3888,271.6304,194.2133,-0.1636,0.024,-0.1762,0.0
1006.4141,268.3096,189.5269,-3.5513,0.0245,-0.176,0.0
1006.4393,264.9339,184.8316,-6.9126,0.025,-0.1758,0.0
1006.4645,261.5053,180.129,-10.2472,0.0255,-0.1756,0.0
1006.4896,257.2449,175.4196,-13.5111,0.026,-0.1753,0.0
1006.5146,252.7117,170.6991,-16.7406,0.0265,-0.175,0.0
1006.5396,248.1499,165.9699,-19.9502,0.027,-0.1747,0.0
1006.5644,243.5613,161.2342,-23.1391,0.0275,-0.1744,0.0
1006.5893,238.9478,156.4942,-26.3065,0.028,-0.174,0.0
1006.614,234.311,151.752,-29.4517,0.0285,-0.1736,0.0
1006.6387,229.6527,147.0096,-32.5739,0.029,-0.1731,0.0
1006.6634,224.9746,142.269,-35.6724,0.0295,-0.1727,0.0
1006.688,220.2783,137.5325,-38.7463,0.03,-0.1722,0.0
1006.7125,215.5654,132.8018,-41.7951,0.0305,-0.1717,0.0
1006.737,210.8374,128.0791,-44.8179,0.031,-0.1711,0.0
1006.7614,206.0959,123.3664,-47.814,0.0315,-0.1706,0.0
1006.7857,201.3423,118.6655,-50.7828,0.032,-0.17,0.0
1006.81,196.5781,113.9784,-53.7235,0.0325,-0.1694,0.0
1006.8343,191.8048,109.3069,-56.6355,0.033,-0.1688,0.0
1006.8585,187.0236,104.6531,-59.5181,0.0335,-0.1681,0.0
1006.8827,182.2361,100.0186,-62.3705,0.034,-0.1674,0.0
1006.9068,177.4434,95.4053,-65.1922,0.0345,-0.1667,0.0
1006.9309,172.6469,90.8151,-67.9824,0.0349,-0.166,0.0
1006.9549,167.8479,86.2496,-70.7406,0.0354,-0.1653,0.0
1006.9789,163.0475,81.7106,-73.466,0.0359,-0.1645,0.0
1007.0029,158.2472,77.1997,-76.1581,0.0363,-0.1638,0.0
1007.0268,153.4479,72.7186,-78.8163,0.0368,-0.163,0.0
1007.0506,148.6509,68.269,-81.4399,0.0372,-0.1621,0.0
1007.0745,143.8574,63.8524,-84.0283,0.0377,-0.1613,0.0
1007.0983,139.0684,59.4704,-86.5809,0.0381,-0.1605,0.0
1007.1221,134.285,55.1245,-89.0972,0.0386,-0.1596,0.0
1007.1458,129.5084,50.8161,-91.5765,0.039,-0.1587,0.0
1007.1695,124.7396,46.5468,-94.0184,0.0394,-0.1578,0.0
1007.1932,119.9797,42.3178,-96.4222,0.0399,-0.1569,0.0
1007.2169,115.2296,38.1307,-98.7875,0.0403,-0.156,0.0
1007.2405,110.4904,33.9867,-101.1137,0.0407,-0.155,0.0
1007.2641,105.763,29.887,-103.4003,0.0411,-0.1541,0.0
1007.2877,101.0484,25.8331,-105.6469,0.0415,-0.1531,0.0
1007.3113,96.3476,21.826,-107.8528,0.0419,-0.1521,0.0
1007.3348,91.6616,17.8669,-110.0177,0.0423,-0.1511,0.0
1007.3584,86.9911,13.957,-112.141,0.0427,-0.1501,0.0
1007.3819,82.3372,10.0974,-114.2225,0.0431,-0.1491,0.0
1007.4054,77.7008,6.2892,-116.2615,0.0435,-0.1481,0.0
1007.4289,73.0826,2.5332,-118.2578,0.0439,-0.147,0.0
1007.4523,68.4836,-1.1694,-120.2108,0.0442,-0.146,0.0
1007.4758,63.9047,-4.8178,-122.1203,0.0446,-0.1449,0.0
1007.4992,59.3466,-8.411,-123.9859,0.045,-0.1438,0.0
1007.5227,54.8103,-11.9482,-125.8071,0.0453,-0.1428,0.0
1007.5461,50.2964,-15.4287,-127.5838,0.0457,-0.1417,0.0
1007.5696,45.8059,-18.8515,-129.3155,0.046,-0.1406,0.0
1007.593,41.3395,-22.216,-131.0021,0.0463,-0.1395,0.0
1007.6164,36.898,-25.5215,-132.6431,0.0467,-0.1384,0.0
1007.6399,32.4821,-28.7673,-134.2383,0.047,-0.1373,0.0
1007.6633,28.0927,-31.9529,-135.7876,0.0473,-0.1362,0.0
1007.6867,23.7304,-35.0776,-137.2906,0.0477,-0.135,0.0
1007.7102,19.3961,-38.1409,-138.7472,0.048,-0.1339,0.0
1007.7336,15.0904,-41.1422,-140.1572,0.0483,-0.1328,0.0
1007.757,10.8141,-44.0813,-141.5204,0.0486,-0.1316,0.0
1007.7805,6.5678,-46.9576,-142.8367,0.0489,-0.1305,0.0
1007.8039,2.3523,-49.7707,-144.1059,0.0492,-0.1293,0.0
1007.8274,-1.8318,-52.5203,-145.328,0.0495,-0.1282,0.0
1007.8509,-5.9838,-55.2061,-146.5028,0.0497,-0.127,0.0
1007.8744,-10.103,-57.8278,-147.6303,0.05,-0.1259,0.0
1007.8979,-14.1887,-60.3851,-148.7104,0.0503,-0.1247,0.0
1007.9214,-18.2404,-62.878,-149.7432,0.0506,-0.1236,0.0
1007.9449,-22.2573,-65.3062,-150.7285,0.0508,-0.1224,0.0
1007.9684,-26.2389,-67.6695,-151.6665,0.0511,-0.1213,0.0
1007.992,-30.1846,-69.968,-152.5571,0.0514,-0.1201,0.0
1008.0156,-34.0843,-72.2015,-153.4004,0.0516,-0.1189,0.0
1008.0391,-37.7102,-74.37,-154.1965,0.0519,-0.1178,0.0
1008.0628,-41.296,-76.4736,-154.9442,0.0521,-0.1166,0.0
1008.0864,-44.8411,-78.5123,-155.6438,0.0523,-0.1155,0.0
1008.11,-48.3451,-80.4863,-156.2954,0.0526,-0.1143,0.0
1008.1337,-51.8074,-82.3957,-156.8993,0.0528,-0.1132,0.0
1008.1574,-55.2274,-84.2406,-157.4557,0.053,-0.112,0.0
1008.1811,-58.6048,-86.0213,-157.9651,0.0532,-0.1109,0.0
1008.2049,-61.939,-87.7378,-158.4276,0.0535,-0.1097,0.0
1008.2286,-65.2295,-89.3906,-158.8437,0.0537,-0.1086,0.0
1008.2524,-68.4759,-90.9798,-159.2137,0.0539,-0.1074,0.0
1008.2763,-71.6778,-92.5057,-159.5379,0.0541,-0.1063,0.0
1008.3001,-74.8345,-93.9687,-159.8167,0.0543,-0.1052,0.0
1008.324,-77.9459,-95.3691,-160.0505,0.0545,-0.104,0.0
1008.3479,-81.0113,-96.7073,-160.2398,0.0547,-0.1029,0.0
1008.3718,-84.0305,-97.9836,-160.3848,0.0549,-0.1018,0.0
1008.3958,-87.0029,-99.1986,-160.4862,0.0551,-0.1007,0.0
1008.4198,-89.9283,-100.3525,-160.5443,0.0553,-0.0996,0.0
1008.4438,-92.8063,-101.446,-160.5595,0.0555,-0.0985,0.0
1008.4679,-95.6365,-102.4795,-160.5325,0.0556,-0.0974,0.0
1008.492,-98.4185,-103.4535,-160.4636,0.0558,-0.0963,0.0
1008.5161,-101.152,-104.3686,-160.3534,0.056,-0.0952,0.0
1008.5403,-103.8367,-105.2252,-160.2024,0.0562,-0.0941,0.0
1008.5645,-106.4724,-106.0239,-160.0111,0.0563,-0.093,0.0
1008.5887,-109.0586,-106.7654,-159.78,0.0565,-0.092,0.0
1008.613,-111.5951,-107.4503,-159.5098,0.0567,-0.0909,0.0
1008.6373,-114.0818,-108.0791,-159.201,0.0568,-0.0898,0.0
1008.6616,-116.5182,-108.6525,-158.8541,0.057,-0.0888,0.0
1008.686,-118.9042,-109.1711,-158.4698,0.0571,-0.0878,0.0
1008.7104,-121.2396,-109.6357,-158.0486,0.0573,-0.0867,0.0
1008.7349,-123.5241,-110.0469,-157.5911,0.0575,-0.0857,0.0
1008.7594,-125.7576,-110.4053,-157.0981,0.0576,-0.0847,0.0
1008.7839,-127.9399,-110.7118,-156.57,0.0578,-0.0837,0.0
1008.8085,-130.0709,-110.967,-156.0075,0.0579,-0.0827,0.0
1008.8331,-132.1503,-111.1717,-155.4113,0.058,-0.0817,0.0
1008.8578,-134.1781,-111.3266,-154.7821,0.0582,-0.0807,0.0
1008.8825,-136.1542,-111.4325,-154.1204,0.0583,-0.0798,0.0
1008.9072,-138.0784,-111.49,-153.4269,0.0585,-0.0788,0.0
1008.932,-139.9508,-111.5001,-152.7023,0.0586,-0.0779,0.0
1008.9568,-141.7711,-111.4635,-151.9473,0.0587,-0.0769,0.0
1008.9816,-143.5395,-111.381,-151.1626,0.0589,-0.076,0.0
1009.0065,-145.2558,-111.2534,-150.3488,0.059,-0.0751,0.0
1009.0315,-146.92,-111.0814,-149.5066,0.0591,-0.0742,0.0
1009.0565,-148.5322,-110.866,-148.6368,0.0593,-0.0732,0.0
1009.0815,-150.0924,-110.6079,-147.7399,0.0594,-0.0724,0.0
1009.1066,-151.6006,-110.3079,-146.8168,0.0595,-0.0715,0.0
1009.1317,-153.0569,-109.9669,-145.8681,0.0597,-0.0706,0.0
1009.1568,-154.4613,-109.5857,-144.8946,0.0598,-0.0697,0.0
1009.182,-155.8139,-109.1652,-143.8969,0.0599,-0.0689,0.0
1009.2072,-157.1149,-108.7062,-142.8757,0.06,-0.068,0.0
1009.2325,-158.3643,-108.2095,-141.8319,0.0601,-0.0672,0.0
1009.2579,-159.5623,-107.6759,-140.7659,0.0603,-0.0664,0.0
1009.2832,-160.709,-107.1064,-139.6787,0.0604,-0.0656,0.0
1009.3086,-161.8047,-106.5018,-138.5709,0.0605,-0.0648,0.0
1009.3341,-162.8495,-105.8629,-137.4432,0.0606,-0.064,0.0
1009.3596,-163.8435,-105.1905,-136.2963,0.0607,-0.0632,0.0
